번호,사용 목적,노트 유형,시기 구분,개시일자,최종 사용일자,구입처
1,일기장,좌철,중학생,2012.2.9,2017.1.30,"동네문구점, WannaBe"
2,독서록,좌철,중학생,2012.2.10,2021.1.25,"동네문구점, morning glory, 2000원"
3,일기장 & 아이디어 노트,상철,중-고등학생,미상(2013.7.18),2016.12.17,"동네문구점, morning glory, 1500원"
4,학교 생활 & 입시 기록,상철,고등학생,2015.8.14,2016.2.12,"동네문구점, morning glory, 1500원"
5,학교 생활 & 입시 기록,상철,고등학생,미상(2016.4),2016.10.3,"ILjIN, M.W Fancy"
6,학교 생활 & 입시 기록,상철,고등학생,2016.2.14,미상(아마 2016년대),"동네문구점, morning glory, 1500원"
7,학교 생활 & 입시 기록,상철,고등학생,2016.7,2016.12,동네문구점
8,대학 생활,상철,대학생,2016.12.25,2018.2,동네문구점
9,일기장,좌철,대학생,2017.1.31,2020.10.23,동네문구점
10,일기장 ,좌철,대학생,2019.1.20,2020.12.20,미국 샌디에고 주립대
11,일기장,사제본,대학생,2021.2.25,2021.12.23,스마일게이트 증정품
12,데일리로그,양장제본,대학생,2021.1.1,2022.3.9,생일선물
13,일기장,양장제본,대학생-취업준비생-직장인,2022.1.2,2023.12.10,텐바이텐
14,아이디어 노트,떡제본,대학생-취업준비생-직장인,2022.4.25,2024.3.21,다이소
15,일기장 & 불렛저널,양장제본,취업준비생-직장인,2023.1,2023.12.6,"베스킨라빈스, 생일선물"
16,데일리로그,양장제본,대학생-취업준비생-직장인,2021.11.26,2023.12.31,생일선물
17,스케줄러,양장제본,백수-직장인,2023.12.25,2025.1.24,텐바이텐
18,일기장,사제본,백수-직장인-백수,2023.12.28,2024.8.16,무인양품
19,일기장,사제본,백수-직장인,2024.6.20,2024.12.4,무인양품